String,Statement,Label
what ethnicity is bruno mars,Introduce the ethnicity of bruno mars,"He has worked with an assortment of artists from various genres .,Mars also incorporates reggae - and Motown -inspired sounds into his work .,Mars won Best International Male Solo Artist at the 2012 BRIT Awards .,Bruno Mars has sold 6 million albums and 40 million singles worldwide as a singer ."
what do ancients myths explain,Describe what ancient myths explain,"These accounts initially were disseminated in an oral-poetic tradition ; today the Greek myths are known primarily from Greek literature .,Geometric designs on pottery of the eighth century BC depict scenes from the Trojan cycle as well as the adventures of Heracles .,Poets and artists from ancient times to the present have derived inspiration from Greek mythology and have discovered contemporary significance and relevance in the themes ."
How do you do Mouth MacNeal,Explain how you do Mouth MacNeal,"Mouth & MacNeal in 1971,Mouth & MacNeal was a pop duo from the Netherlands .,They are best known for their million selling recording of `` How Do You Do `` ."
what division is boise state football,Describe boise state football division,"The Boise State Broncos football program represents Boise State University in college football and compete in the Football Bowl Subdivision ( FBS ) of Division I as a member of the Mountain West Conference .,They are currently led by head coach Chris Petersen and play their home games at Bronco Stadium ."
how much does 1952 us 1/2 franc weight,Introduce the weight of 1/2 franc on 1952 us,"The Swiss National Bank issues banknotes and the federal mint Swissmint issues coins .,The Swiss franc is the only version of the franc still issued in Europe ."
how much money did charlie chaplin make in any year in the 1920,Introduce the salary of charlie chaplin in 1920,"Chaplin became a worldwide icon through his screen persona `` the Tramp `` and is considered one of the most important figures of the film industry .,He soon developed the Tramp persona and formed a large fan base ."
how does planned parenthood fund abortions ?,Explain how planned parenthood fund abortions,PPFA is a non-profit organization providing reproductive health and maternal and child health services .
What does the term `` mens rea '' mean,Explain the meaninig of term mens rea,"Mens rea is Latin for `` guilty mind '' .,The exception is strict liability crimes .,This terminology was adopted to replace the obscurity of the Latin terms with simple and accurate phrasing ."
what does s in ulysses s grant stand for,Explain what does s in ulysses s grant stand for,"As president he led the Radical Republicans in their effort to eliminate all vestiges of Confederate nationalism and slavery .,Grant was the first President to establish Civil Service reform having created a two-year federally funded Civil Service Commission in 1871 .,By 1875 the conservative white Southern opposition regained control of every state in the South and as he left the White House in March 1877 his policies were being undone .,Lee surrendered his depleted forces to Grant at Appomattox as the Confederacy collapsed .,Grant 's two consecutive terms as President stabilized the nation after the American Civil War and during the turbulent Reconstruction period that followed .,Grant won passage of the Fifteenth Amendment ; giving constitutional protection for African-American voting rights .,Grant remained determined in keeping Indians from being exterminated from white settler encroachment or by the U.S. military ."
what do UA 's detect,Describe what do UA 's detect,"A `` 10-panel urine screen '' consists of the following:,Amphetamines ( including Methamphetamine ),Barbiturates,Benzodiazepines,Cannabinoids ( THC ),Cocaine,Methadone,Methaqualone,Phencyclidine ( PCP ),Propoxyphene"
how many missions has the us sent to mars,Introduce the number of missions us has sent to mars,"Space exploration is the discovery and exploration of outer space by means of space technology .,Physical exploration of space is conducted both by human spaceflights and by robotic spacecraft .,Various criticisms of space exploration are sometimes made .,Space exploration has often been used as a proxy competition for geopolitical rivalries such as the Cold War ."
how many terms did calvin coolidge serve,Introduce number of terms calvin coolidge serve,"His conduct during the Boston Police Strike of 1919 thrust him into the national spotlight and gave him a reputation as a man of decisive action .,That he did represent the genius of the average is the most convincing proof of his strength . '',Some later criticized Coolidge as part of a general criticism of laissez-faire government ."
how much caffeine is in a shot of espresso,Introduce the amount of caffeine in a shot of espresso,"Espresso is a concentrated beverage brewed by forcing a small amount of nearly boiling water under pressure through finely ground coffee beans .,As a result of the pressurized brewing process the flavors and chemicals in a typical cup of espresso are very concentrated ."
how is a contract legally binding ?,Explain legally binding in contract,"The elements of a contract are `` offer '' and `` acceptance '' by `` competent persons '' having legal capacity who exchange `` consideration '' to create `` mutuality of obligation . '',The remedy for breach of contract can be `` damages '' in the form of compensation of money or specific performance enforced through an injunction .,The parties may be natural persons or juristic persons .,A contract is a legally enforceable promise or undertaking that something will or will not occur ."
how did the penguins acquire sidney crosby,Introduce the acquisition between penguins and sidney crosby,"Crosby was drafted first overall by the Penguins out of the Quebec Major Junior Hockey League ( QMJHL ) .,The Penguins returned to the Finals against Detroit the following year and won in seven games ; Crosby became the youngest captain in NHL history to win the Stanley Cup .,The injury left him sidelined for ten and a half months ."
what does add my two cents mean,Explain meaning of add my two cents,"It is used to preface the tentative stating of one‚Äôs opinion .,The phrase is also used out of habit to preface uncontentious opinions .,For example:"
what happened to kuomintang after the chinese civil war,Introduce situation of kuomintang after the chinese civil war,"The Chinese Civil War was a civil war in China fought between forces loyal to the government of the Republic of China led by the Kuomintang ( KMT ) and forces of the Communist Party of China ( CPC ) .,This ensured PLA popular support .,The PRC still actively claims Taiwan as part of its territory and continues to threaten the ROC with a military invasion if the ROC officially declares independence by changing its name to and gaining international recognition as the Republic of Taiwan ."
how many representative in congress 2011,Introduce number of representative in congress 2011,"Senators elected to regular terms in 2006 completed those terms in this Congress .,This Congress included the last House of Representatives elected from congressional districts that were apportioned based on the 2000 census ."
how much total wealth in USA,Describe amount of total wealth in USA,Net worth can vary with fluctuations in value of the underlying assets .
How will I feel after my Rhizotomy surgery ?,Describe feeling after Rhizotomy surgery ?,"The ones producing spasticity are then selectively lesioned with tiny electrical pulses .,The terms rhizotomy and neurotomy are also increasingly becoming interchangeable in the treatment of chronic back pain from degenerative disc disease .,This is a procedure called a facet rhizotomy and is not a surgical procedure but is instead done on an outpatient basis using a simple probe to apply radiofrequency waves to the impinged pain-causing nerve root lying between the facet joint and the vertebral body .,Such radio frequency nerve lesioning results in five to eight or more months of pain relief before the nerve regenerates and another round of the procedure needs to be performed ."
what does a migrant worker do,Introduce what does a migrant worker do,The term migrant worker has different official meanings and connotations in different parts of the world .
what does the tear tattoo mean,Explain the meaning of tear tattoo,"Photograph of Lil Wayne with teardrop tattoos below his eyes .,The teardrop tattoo or tear tattoo is a symbolic tattoo that is placed underneath the eye .,It has no fixed meaning but almost all meanings ( see below ) have some connection to prison ."
how much of US 75 is 4 lane,Count the amount of 4 lane in US 75,U.S. Route 75 is a north‚Äìsouth U.S. Highway .
how did streets in lower 9th ward new orleans get their names,Explain the source of name of streets in lower 9th ward new orleans,"Lower Ninth Ward is a neighborhood of the city of New Orleans .,The 9th Ward was added as a voting district in 1852 .,Higher voting district numbers in the 9th Ward ( 8-27 ) are on the upriver side of the Industrial Canal .,The area came to national attention for its devastation in the aftermath of Hurricane Katrina in 2005 ."
how was the moon formed,Explain how was the moon formed,"The Moon 's gravitational influence produces the ocean tides and the minute lengthening of the day .,This matching of apparent visual size is a coincidence .,The Moon is the only celestial body other than Earth on which humans have set foot .,These spacecraft have contributed to confirming the discovery of lunar water ice in permanently shadowed craters at the poles and bound into the lunar regolith ."
what did ronald reagan do as president,Describe president ronald reagan do ,"Reagan served as President of the Screen Actors Guild and later as a spokesman for General Electric ( GE ) ; his start in politics occurred during his work for GE .,Reagan left office in 1989 ."
how many verses does the chapter 21 of the book of joshua have according to the aleppo codex,how many verses does the chapter 21 of the book of joshua have according to the aleppo codex,The Tanakh is also known as the Masoretic Text or the Miqra .
how much hp does 2005 kawasaki 636 have,Introduce the amount hp of 2005 kawasaki 636,"The Kawasaki Ninja ZX-6R is a Kawasaki 600 cc class sport motorcycle .,The ZX series is what was known as the Ninja line of Kawasaki motorcycles in the 1980s and still carries the name today ."
how many presidents have been assassinated,Introduce number of presidents have been assassinated,This may explain why political groups typically do not make such attacks .
what genre is where the red fern grows,Describe the genre where the red fern grows,Where the Red Fern Grows is a novel written by Wilson Rawls in 1961 about a boy who buys and trains two Redbone Coonhound hunting dogs .
what does oklahoma produce,Describe production of oklahoma ,Oklahoma is the 20th most extensive and the 28th most populous of the 50 United States .
how many redwall books are there,Introduce number of redwall books are there,There have been twenty-two novels and two picture books published .
how many decatherms in a therm,Describe number of decatherms in a therm,"Natural Gas is usually measured by volume in the United States and is stated in cubic feet .,It is approximately the energy equivalent of burning 100 cubic feet ( often referred to as 1 CCF ) of natural gas .,The therm factor is usually in the units therms/CCF .,It will vary with the mix of hydrocarbons in the natural gas .,The volume of the gas is calculated as if measured at standard temperature and pressure ( STP ) .,One therm can also be provided by about of natural gas .,The therm sometimes has been confused with the thermie ( see below ) .,The names of both units come from the Greek word for heat .,The thermie is equal to the amount of energy required to raise the temperature of 1 tonne of water by 1 ¬∞C ."
what date did the american civil war start,Introduce the start date of American civil war,"Foreign powers did not intervene .,Outgoing Democratic President James Buchanan and the incoming Republicans rejected secession as illegal .,Lincoln 's inaugural address declared his administration would not initiate civil war .,Eight remaining slave states continued to reject calls for secession .,Confederate forces seized numerous federal forts within territory claimed by the Confederacy .,The Confederates assumed that European countries were so dependent on `` King Cotton `` that they would intervene ; none did and none recognized the new Confederate States of America .,The Union soon controlled the border states and established a naval blockade that crippled the southern economy .,The Eastern Theater was inconclusive in 1861Ôø?2 .,Western successes led to Ulysses S. Grant command of all Union armies in 1864 .,The American Civil War was one of the earliest true industrial wars ."
what does bruce jenner do,Describe what bruce jenner do,He won the gold medal for decathlon in the Montreal 1976 Summer Olympics .
what area code is 217,Explain what area code is 217,Area code 217 is the North American telephone area code for much of western and central Illinois .
what causes destruction of the ozone layer,Explain the cause of destruction of the ozone layer,"Layers of the atmosphere ( not to scale ),The latter phenomenon is referred to as the ozone hole .,These compounds are transported into the stratosphere after being emitted at the surface .,Both types of ozone depletion were observed to increase as emissions of halo-carbons increased .,CFCs and other contributory substances are referred to as ozone-depleting substances ( ODS ) ."
what does it mean to form a more perfect union,Explain the meaning  of forming a more perfect union,The Preamble to the United States Constitution is a brief introductory statement of the Constitution 's fundamental purposes and guiding principles .
how do i measure the shot put throw,Describe the method to measure the shot put throw,"Czechoslovakian shot putter Plihan at the 1957 East German Indoor Athletics Championships,The shot put ( pronounced ) is a track and field event involving `` throwing '' / '' putting '' ( throwing in a pushing motion ) a heavy spherical object ‚Äîthe shot‚Äîas far as possible ."
what countries belong with the united nations,Introduce countries belong with the united nations,The Security Council 's recommendation must then be subsequently approved in the General Assembly by a two-thirds majority vote .
what color is the eiffel tower,Describe color of the eiffel tower,"The tower is the tallest structure in Paris and the most-visited paid monument in the world ; 7.1 million people ascended it in 2011 .,The tower received its 250 millionth visitor in 2010 .,The tower has three levels for visitors .,The third and highest level is accessible only by lift‚Äîstairs do exist but are usually closed to the public .,The first and second levels have restaurants ."
How many consecutive games did Ken Jennings win ?,Describe number of consecutive games Ken Jennings win,"Jennings is noted for holding the record for the longest winning streak on the U.S. syndicated game show Jeopardy !,and as being the all-time leading money winner on American game shows .,games before he was defeated by challenger Nancy Zerg on his 75th appearance .,His total earnings on Jeopardy !,During his first run of Jeopardy !,winnings .,record ."
how old do you need to be to play professional football in the canadian league,Introduce age required to play professional football in the canadian league,"The Canadian Football League or CFL ( ' [ LCF ] in French ) is a professional sports league located in Canada .,The league 's 19-week regular season runs from late June to early November ; each team plays 18 games with one bye week .,The Edmonton Eskimos and Calgary Stampeders also renovated their respective stadiums and facilities for the 2010 season ."
what antibodies are produced in large quantities,Introduce antibodies are produced in large quantities,"Each antibody binds to a specific antigen ; an interaction similar to a lock and key .,The production of antibodies is the main function of the humoral immune system .,Antibodies are secreted by a type of white blood cell called a plasma cell .,Antibodies are glycoproteins belonging to the immunoglobulin superfamily ; the terms antibody and immunoglobulin are often used interchangeably .,Antibodies are typically made of basic structural units‚Äîeach with two large heavy chains and two small light chains .,This region is known as the hypervariable region .,Each of these variants can bind to a different antigen .,This enormous diversity of antibodies allows the immune system to recognize an equally wide variety of antigens .,This allows a single antibody to be used by several different parts of the immune system ."
what happened to the zodiac killer,Describe what happened to the zodiac killer,"The symbol used by the Zodiac Killer to sign his correspondence,The Zodiac Killer was a serial killer who operated in Northern California in the late 1960s and early 1970s .,The killer 's identity remains unknown .,Four men and three women between the ages of 16 and 29 were targeted .,The killer originated the name `` Zodiac '' in a series of taunting letters sent to the local Bay Area press .,These letters included four cryptograms ( or ciphers ) .,The California Department of Justice has maintained an open case file on the Zodiac murders since 1969 ."
how does nanotechnology affect health,Describe influence of nanotechnology on health,"Nanotechnology ( sometimes shortened to `` nanotech '' ) is the manipulation of matter on an atomic and molecular scale .,It is therefore common to see the plural form `` nanotechnologies '' as well as `` nanoscale technologies '' to refer to the broad range of research and applications whose common trait is size .,The European Union has invested 1.2 billion and Japan 750 million dollars .,Scientists currently debate the future implications of nanotechnology .,These concerns have led to a debate among advocacy groups and governments on whether special regulation of nanotechnology is warranted ."
what countries were depended on USSR after 1945,Introduce countries depended on USSR after 1945,Map of the Eastern Bloc
what day does election results for a new governor start in NJ,Introduce the day election results for a new governor start in NJ,"Christie won the largest margin for a first term Republican since 1969 .,This was the first election to fill the newly created office of Lieutenant Governor ."
how much does united states spend on health care,Introduce thefees united states spend on health care,"Health care in the United States is provided by many distinct organizations .,Health care facilities are largely owned and operated by private sector businesses .,Health insurance for public sector employees is primarily provided by the government .,A 2004 Institute of Medicine ( IOM ) report said : `` The United States is among the few industrialized nations in the world that does not guarantee access to health care for its population . ''"
how much water is the human body made of,Describe percentage of water in the human body,"A significant fraction of the human body is water .,Intracellular fluid ( 2/3 of body water ) .,Jackson 's texts states 70 % of body fluid is intracellular .,Extracellular fluid ( 1/3 of body water ) .,Plasma ( 1/5 of extracellular fluid ) .,Interstitial fluid ( 4/5 of extracellular fluid )"
what does low self esteem mean,Introduce meaning of low self esteem,"Self-esteem is a term used in psychology to reflect a person 's overall emotional evaluation of his or her own worth .,It is a judgement of oneself as well as an attitude toward the self .,One 's self-esteem is also closely associated with self-consciousness .,Self-esteem is a disposition that a person has which represents their judgements of their own worthiness .,Nathaniel Branden in 1969 defined self-esteem as `` the experience of being competent to cope with the basic challenges of life and being worthy of happiness . ''"
how long has Pilkington company existed,Describe the time Pilkington company existed,Prior to its acquisition by NSG in 2006 it was an independent company listed on the London Stock Exchange and for a time was a constituent of the FTSE 100 Index .
what happened in 1877 in us,Introduce events in 1877 in us,Year 1877 ( MDCCCLXXVII ) was a common year starting on Monday ( link will display the full calendar ) of the Gregorian calendar and a common year starting on Saturday of the 12-day slower Julian calendar .
how does black pepper grow,Describe how black pepper grow,"Dried ground pepper has been used since antiquity for both its flavour and as a medicine .,Black pepper is the world 's most traded spice .,It is one of the most common spices added to European cuisine and its descendants ."
how frequent do you inspect hydrants,Introduce frequent of inspecting hydrants,"Buildings near a hydrant may qualify for an insurance discount since firefighters should be able to more rapidly extinguish a fire on the insured property .,The concept of fire plugs dates to at least the 17th century .,This was a time when firefighters responding to a call would dig down to the wooden water mains and hastily bore a hole to secure water to fight fires .,The location of the plug would often be recorded or marked so that it could be reused in future fires .,This is the source of the colloquial term fire plug still used for fire hydrants today .,It had a combination hose/faucet outlet and was of `` wet barrel '' design with the valve in the top ."
how south african leaders are elected,Introduce election in south african,"The President of the Republic of South Africa is the head of state and head of government under South Africa 's Constitution .,The 1993 and later constitutions limits the president 's time in office to two five-year terms .,But De Klerk later resigned and went into opposition with his party ."
how school librarians support students with disabilities in europe,Introduce how school librarians support students with disabilities in europe,"Special education or special needs education is the education of students with special needs in a way that addresses the students ' individual differences and needs .,Integration can reduce social stigmas and improve academic achievement for many students .,The opposite of special education is general education .,General education is the standard curriculum presented with standard teaching methods and without additional supports ."
what does the name `` soros '' mean ?,Describe the meaning of the name `` soros '' ,"He is the chairman of Soros Fund Management .,Soros supports progressive-liberal causes .,He is known as `` The Man Who Broke the Bank of England `` because of his in investment profits during the 1992 Black Wednesday UK currency crisis .,He played a significant role in the peaceful transition from communism to capitalism in Hungary ( 1984Ôø?9 ) and provided one of Europe 's largest higher education endowments to Central European University in Budapest .,Soros is also the chairman of the Open Society Institute ."
how was the phone invented,Introduce invention of the phone ,"An actor portraying Alexander Graham Bell speaking into an early model telephone .,The development of the modern electrical telephone involved an array of lawsuits founded upon the patent claims of several individuals and numerous companies ."
what can i do with a masters of fine arts degree,Explain effects of a masters of fine arts degree,"Coursework is primarily of an applied or performing nature with the program often culminating in a major work or performance .,The most important admissions requirement has often been a sample portfolio or a performance audition .,The CAA 2008 guidelines regarding the MFA strongly re-affirms that the PhD is not required as a terminal degree in the visual arts ."
how many died in hiroshima and nagasaki,Describe the number of death in hiroshima and nagasaki,"The atomic bombings of the cities of Hiroshima and Nagasaki in Japan were conducted by the United States during the final stages of World War II in 1945 .,The two events are the only use of nuclear weapons in war to date .,The role of the bombings in Japan 's surrender and their ethical justification are still debated ."
how did mohammed gandhi die,Explain the death of mohammed gandhi,"A lifelong opponent of `` communalism `` ( i.e . basing politics on religion ) he reached out widely to all religious groups .,He became a leader of Muslims protesting the declining status of the Caliphate .,He was imprisoned for that and for numerous other political offenses over the years .,He saw the villages as the core of the true India and promoted self-sufficiency ; he did not support the industrialization programs of his disciple Jawaharlal Nehru .,He was assassinated on 30 January 1948 by Nathuram Godse who thought Gandhi was too sympathetic to India 's Muslims .,30 January is observed as Martyrs ' Day in India .,The honorific Mahatma ( `` Great Soul '' ) was applied to him by 1914 .,In India he was also called Bapu ( `` Father '' ) ."
how did Joan Crawford die ?,Explain the death of joan crawford,"Crawford often played hardworking young women who find romance and financial success .,These `` rags-to-riches '' stories were well received by Depression -era audiences and were popular with women .,Crawford married four times .,Her first three marriages ended in divorce ; the last ended with the death of husband Alfred Steele .,She was voted the tenth greatest female star in the history of American cinema by the American Film Institute ."
what does tonneau mean on a watch ?,Explain meaning of tonneau on a watch,"1910 Buick Tonneau without tonneau cover,1903 Ford Model A rear-door Tonneau,1903 Lanchester rear-door Tonneau,Hard tonneau covers open by a hinging or folding mechanism while soft covers open by rolling up .,The tonneau cover is used to conceal cargo ."
what does doug 's father in law say about vegas before he leaves the hangover,Introduce doug 's father in law say about vegas before he leaves the hangover,"Lucas and Moore wrote the script after executive producer Chris Bender 's friend disappeared and had a large bill after being sent to a strip club .,Critics praised the film 's comedic approach but criticized it for its vulgarity ."
how many cells are produced during the cell cycle,Introduce the number of cells produced during the cell cycle,"Meiosis ( ) is a special type of cell division necessary for sexual reproduction in eukaryotes .,The cells produced by meiosis are gametes or spores .,Meiosis begins with one diploid cell containing two copies of each chromosome ‚Äîone from the organism 's mother and one from its father .,In animals the haploid cell resulting from meiosis is a male or female gamete .,This gives rise to genetic diversity in sexually reproducing populations .,In the beginning of meiosis the maternal and paternal homologs pair to each other .,Then they typically exchange parts by homologous recombination leading to crossovers of DNA between the maternal and paternal versions of the chromosome .,Spindle fibers bind to the centromeres of each pair of homologs and arrange the pairs at the spindle equator .,Then the fibers pull the recombined homologs to opposite poles of the cell .,There meiosis ends as the two sister chromatids making up each homolog are separated and move into one of the four resulting gamete cells .,The gamete from the mother and the gamete from the father each contribute one half of the set of chromosomes that make up the new offspring 's genome .,In all plants and in many protists meiosis results in the formation of spores : haploid cells that can divide vegetatively without undergoing fertilization ."
how many rounds in boxing,Introduce the number of rounds in boxing,"Amateur boxing is an Olympic and Commonwealth sport and is a common fixture in most of the major international games - it also has its own World Championships .,Boxing is supervised by a referee over a series of one- to three-minute intervals called rounds .,The birth hour of boxing as a sport may be its acceptance by the ancient Greeks as an Olympic game as early as 688 BC ."
how does agreement show grammatical relation,Explain how agreement shows grammatical relation,"Agreement or concord happens when a word changes form depending on the other words to which it relates .,This is because the grammar of the language requires that the verb and its subject agree in person .,The verb form must be selected so that it has the same person as the subject ."
how much of california is below sea level,Introduce amount of california below sea level,"This is a list of places below mean sea level that are on land .,All figures are in meters below sea level:"
what kind of books does debbie macomber writes,Introduce books written by debbie macomber,Macomber was the inaugural winner of the fan-voted Quill Award for romance in 2005 and has been awarded both a Romance Writers of America RITA and a lifetime achievement award by the Romance Writers of America .
what county is catonsville md in,Introduce the county catonsville md in,The community lies to the west of Baltimore along the city 's border .
what does the family leave act,Introduce family leave act,"The Family and Medical Leave Act of 1993 ( FMLA ) is a United States federal law requiring covered employers to provide employees job-protected and unpaid leave for qualified medical and family reasons .,The FMLA is administered by the Wage and Hour Division of the United States Department of Labor .,The bill was a major part of President Bill Clinton 's agenda in his first term .,The FMLA was intended `` to balance the demands of the workplace with the needs of families . ''"
how did the vietnam war end,Introduce the ending of vietnam war,"The U.S. government viewed involvement in the war as a way to prevent a communist takeover of South Vietnam as part of their wider strategy of containment .,The North Vietnamese government and Viet Cong were fighting to reunify Vietnam under communist rule .,American military advisors arrived in what was then French Indochina beginning in 1950 .,U.S. combat units were deployed beginning in 1965 .,U.S. military involvement ended on 15 August 1973 as a result of the Case‚ÄìChurch Amendment passed by the U.S. Congress .,The war exacted a huge human cost in terms of fatalities ( see Vietnam War casualties ) ."
how do you know if a volcano is extinct,Explain the methods to know if a volcano is extinct,"Volcanoes are generally found where tectonic plates are diverging or converging .,This type of volcanism falls under the umbrella of `` Plate hypothesis '' volcanism .,Volcanism away from plate boundaries has also been explained as mantle plumes ."
How is the pothole formed,Describe the formation of the pothole,A deep pothole on New York City 's Second Avenue
how much more time does chemo give to people with renal cancer,Introduce the extra time chemo could give to people with renal cancer,"It is also known to be the most lethal of all the genitourinary tumors .,Initial treatment is most commonly a radical or partial nephrectomy and remains the mainstay of curative treatment ."
what does peritoneal cavity hold,Introduce the items peritoneal cavity hold,"It is composed of a layer of mesothelium supported by a thin layer of connective tissue .,The peritoneum both supports the abdominal organs and serves as a conduit for their blood and lymph vessels and nerves ."
how does a solid state drive work,Explain working principle of a solid state drive,"Modern 2.5 '' SSD used in consumer laptops and desktop computers .,DDR SDRAM based SSD .,Max and .,PCI attached IO Accelerator SSD,It uses an external power supply to make the DRAM non-volatile .,SSD technology uses electronic interfaces compatible with traditional block input/output ( I/O ) hard disk drives .,These devices may offer near-SSD performance for many applications ."
how do they harvest caviar ?,Introduce the methods to harvest caviar,"Salmon roe ( left ) and sturgeon caviar ( right ) served with mother of pearl caviar spoons to avoid tainting the taste of the caviar .,Caviar is considered a luxury delicacy and is eaten as a garnish or a spread ."
what channel is sec network ?,Introduce the channel is sec network ?,"The SEC Network is a television syndication network featuring live broadcasts of college football and basketball events from the Southeastern Conference .,The SEC Network typically airs in the noon eastern slot that was former home to the Raycom Sports SEC game of the week .,The SEC Network is also available in Canada via Atlanta 's WPCH-TV ."
what happened in the 90 's,Describe the events in the 90 's,"It was the 10th and last decade of the 20th century and the 100th and last decade of the 2nd millennium .,The decade is best known for the end of the Cold War at the beginning of the decade and the expansion and commercialization of the Internet during the second half of the decade .,Culturally speaking the decade was characterized by the rise of multiculturalism and alternative media .,The United States began its current military occupation of the Middle East during the summer of 1990 with Desert Shield after it cut off a large portion of the world 's petroleum supply ."
how long did the roman empire last,Introduce the roman empire last time,"The first two centuries of the Empire were a period of unprecedented stability and prosperity known as the Pax Romana ( `` Roman Peace '' ) .,It reached its greatest expanse during the reign of Trajan ( 98Ôø?17 AD ) ."
how many high schools are in the us,Introduce number of high schools in the us,"Public education is universally available .,Educational standards and standardized testing decisions are usually made by state governments .,The ages for compulsory education vary by state .,It begins from ages five to eight and ends from ages fourteen to eighteen .,The exact age range of students in these grade levels varies slightly from area to area .,The year of 1910 also saw the first true high schools .,Special education was made into federal law in 1975 .,The resulting No Child Left Behind Act of 2001 was controversial and its goals proved to be unrealistic ."
how much does U.S. pay on health care per person,introduce the money of U.S. pay on health care per person,"The two countries had similar health care systems before Canada reformed its system in the 1960s and 1970s .,The U.S. spent 15.3 % of GDP on health care in that year ; Canada spent 10.0 % .,Studies have come to different conclusions about the result of this disparity in spending .,The WHO 's study methods were criticized by some analyses ."
what creates sonic boom,Introduce the source of sonic boom,"The sound source will pass by a stationary observer ( with a speed ) before the observer actually hears the sound it creates .,and an observer behind the source .,Mach cone angle,A sonic boom is the sound associated with the shock waves created by an object traveling through the air faster than the speed of sound .,The crack of a supersonic bullet passing overhead is an example of a sonic boom in miniature ."
what channel is jay leno on ?,Introduce the channel jay leno on ?,"The show is shot in 16:9 aspect ratio .,NBC signed Leno to a new deal for a nightly talk show in the 10:00 pm ET timeslot ."
how is rfid tag powered,Explain how rfid tag is powered,"RFID chip next to a grain of rice .,This chip contains a radio-frequency electromagnetic field coil that modulates an external magnetic field to transfer a coded identification number when queried by a reader device .,The tags contain electronically stored information .,Some tags are powered and read at short ranges ( a few meters ) via magnetic fields ( electromagnetic induction ) .,Battery powered tags may operate at hundreds of meters .,RFID tags are used in many industries .,An RFID tag attached to an automobile during production can be used to track its progress through the assembly line .,Pharmaceuticals can be tracked through warehouses ."
how does fraud called the psyche mind,Introduce how fraud called the psyche mind,"The super-ego can stop you from doing certain things that your id may want you to do .,The concepts themselves arose at a late stage in the development of Freud 's thought : the `` structural model '' ( which succeeded his `` economic model '' and `` topographical model '' ) was first discussed in his 1920 essay `` Beyond the Pleasure Principle `` and was formalized and elaborated upon three years later in his `` The Ego and the Id `` .,Freud 's proposal was influenced by the ambiguity of the term `` unconscious `` and its many conflicting uses ."
what does CTA stand for afrotc,Introduce what CTA stand for afrotc,"Air Force ROTC emblem,AFROTC is the largest and oldest source of commissioned officers for the U.S. Air Force .,AFROTC 's stated mission is to produce quality leaders for the U.S. Air Force .,AFROTC units are located on 144 college and university campuses with 984 additional institutions of higher learning participating in cross-town agreements that allow their students to attend AFROTC classes at a nearby `` host '' college or university .,Most colleges and universities will designate the AFROTC detachment as the Department of Aerospace Studies .,Three USAF non-commissioned officers and one senior non-commissioned officer will typically provide military administrative support and are often augmented by one to two civilian staff support employees of the academic institution ."
how is paper measured,Explain the measurement of paper,"The term `` density '' is not used in its traditional sense of mass per unit volume .,Paper products that let little or no light pass through ( e.g . poster board ) are considered dense or heavy .,Paper products that allow some light to pass through ( e.g . tissue paper ) are considered lightweight .,Paper density can also be used to distinguish paper from paperboard as the latter usually has a grammage greater than 134 g/m2 .,Two ways of expressing paper density are commonly used:,This is the measure used in most parts of the world .,Japanese paper is expressed as the weight in kg of 1000 sheets ."
how does candace parker write,Explain how candace parker writes,"She is the younger sister of NBA player Anthony Parker .,She attended the University of Tennessee and was drafted by the Sparks in 2008 .,Parker won the 2009 Nickelodeon Kids ' Choice award as the favorite female athlete in the sports category .,And she was a guest star on Figure It Out ."
what food group is alcohol,Introduce the food group of alcohol,"A food guide pyramid is a pyramid shaped guide of healthy foods divided into sections to show the recommended intake for each food group .,The first food pyramid was published in Sweden in 1974 .,Over 25 other countries and organisations have also published food pyramids ."
what jobs did hans christian anderson have besides writing ?,Introduce hans christian anderson 's job besides writing.,During his lifetime he was acclaimed for having delighted children worldwide and was feted by royalty .
What culture is it that children do not look adults in the eyes ?,Describe the culture children do not look adults in the eyes ?,"Two figures locking eyes in Caravaggio 's The Fortune Teller,Eye contact occurs when `` two people look at each other 's eyes at the same time . '',The study of eye contact is sometimes known as oculesics ."
how do you get bed bugs,Introduce the source of bed bugs,"Bed bugs are parasitic insects of the cimicid family that feed exclusively on blood .,The name of the `` bed bug '' is derived from the preferred habitat of Cimex lectularius : warm houses and especially nearby or inside of beds and bedding or other sleep areas .,They usually feed on their hosts without being noticed .,Diagnosis involves both finding bed bugs and the occurrence of compatible symptoms .,Bed bugs have been known as human parasites for thousands of years ."
what city is oregon state university in,Introduce the location of oregon state university.,"There are more than 200 academic degree programs offered through the university .,The OSU 's liberal arts programs have also grown significantly and the department is considered a `` cornerstone '' of the institution .,The Carnegie Foundation classifies Oregon State University as part of its top tier of research institutions ."
how much can female ejaculate,Introduce the amount of  female ejaculate,Female ejaculation is the expulsion of fluid by human females from the paraurethral ducts through and around the female urethra during or before an orgasm .
how long have kanab ambersnail been endangered ?,Introduce the time kanab ambersnail is endangered ?,It has been listed as endangered on the United States Fish and Wildlife Service list of endangered species since 8 August 1991 .
how many spanish speaking people are there in the us,Introduce the number of spanish speaking people in the us,The Spanish language is the second most used language in the United States .
