Question,Document,Label
"what do jehovah witnesses believe	The religion 's position regarding conscientious objection to military service and refusal to salute national flags has brought it into conflict with some governments .	0",,
"what do jehovah witnesses believe	Persistent legal challenges by Jehovah 's Witnesses have influenced legislation related to civil rights in several countries .	0",,
"WHAT DID MARLON BRANDO DO WITH THE BUTTER IN THE MOVIE LAST TANGO IN PARIS	The film 's raw portrayal of sexual violence and emotional turmoil led to international controversy and drew various levels of government censorship .	0",,
"WHAT DID MARLON BRANDO DO WITH THE BUTTER IN THE MOVIE LAST TANGO IN PARIS	The MPAA gave the film an X rating upon release in the United States .	0",,
"WHAT DID MARLON BRANDO DO WITH THE BUTTER IN THE MOVIE LAST TANGO IN PARIS	MGM released a censored R-rated cut in 1981 .	0",,
"WHAT DID MARLON BRANDO DO WITH THE BUTTER IN THE MOVIE LAST TANGO IN PARIS	The film has its NC-17 rating for `` some explicit sexual content . ''	0",,
"how old old is xp operating system	It was succeeded by Windows Vista in January 2007 .	0",,
"how old old is xp operating system	It is also the first version of Windows to use product activation to combat illegal copying .	0",,
"what does por una cabeza mean	`` Por una Cabeza '' is an Argentine tango with music and lyrics written in 1935 by Carlos Gardel and Alfredo Le Pera respectively .	0",,
"what does por una cabeza mean	The lyrics speak of a compulsive horse-track gambler who compares his addiction for horses with his attraction to women .	0",,
"what does por una cabeza mean	Por una Cabeza	0",,
"what does por una cabeza mean	The tango has since been performed by numerous tango orchestras .	0",,
"what does por una cabeza mean	It is also quoted in David Del Tredici 's `` Good News !	0",,
"what does por una cabeza mean	Nilda is Back '' ( from the song cycle Miz Inez Sez ) .	0",,
"what does por una cabeza mean	John Williams arranged a version of the piece that appears on the album `` Cinema Serenade '' with the violin solo performed by Itzhak Perlman .	0",,
"what does por una cabeza mean	Perlman and Williams ( conducting ) have also performed the piece together in live concerts .	0",,
"what does por una cabeza mean	In 2012 a dance version was released by the group `` Da Carrera '' featuring the original vocal recording by Carlos Gardel .	0",,
"what happens when the baroreceptor reflex is activated	The baroreflex or baroreceptor reflex is one of the body 's homeostatic mechanisms for maintaining blood pressure .	0",,
"what happens when the baroreceptor reflex is activated	Subsequent changes in blood pressure are mediated by the autonomic nervous system .	0",,
"what happens when the baroreceptor reflex is activated	Atrial natriuretic peptide forms a parallel negative feedback loop in an endocrinological contrast to the renin-angiotensin system .	0",,
"how many pawns in chess	Pawn in the standard Staunton pattern	0",,
"how many pawns in chess	Individual pawns are referred to by the file on which they stand .	0",,
"what countries allow gays to openly serve in the military	The military forces of the world have differing approaches to the enlistment of homosexual ( gay and lesbian ) and bisexual individuals .	0",,
"what countries allow gays to openly serve in the military	The armed forces of most developed countries have now removed policies excluding non-heterosexual individuals ( with strict policies on sexual harassment ) .	0",,
"how is hydrogen produced	Hydrogen production is the family of industrial methods for generating hydrogen .	0",,
"how is hydrogen produced	Currently the dominant technology for direct production is steam reforming from hydrocarbons .	1",,
"how is hydrogen produced	Many other methods are known including electrolysis and thermolysis .	0",,
"how is hydrogen produced	0.4 million tonnes were an incidental by-product of the chlor-alkali process .	0",,
"how is hydrogen produced	Hydrogen production is an estimated $ 100 billion industry .	0",,
"how many percent is a basis point	A basis point is defined as:	0",,
"how many percent is a basis point	1 basis point = 1 permyriad = one one-hundredth percent	1",,
"how many percent is a basis point	1 bp = 1 = 0.01 % = 0.1‚Ä?= 10‚à? = = 0.0001	1",,
"how many percent is a basis point	1 % = 100 bp = 100	0",,
"how many percent is a basis point	Basis points are used as a convenient unit of measurement in contexts where percentage differences of less than 1 % are discussed .	0",,
"how many percent is a basis point	The term `` basis point '' has its origins in trading the `` basis '' or the spread between two interest rates .	0",,
"how many percent is a basis point	Contrast with pips in FX forward markets .	0",,
"what does the royal family do	The British Royal Family is the group of close relatives of the monarch of the United Kingdom .	0",,
"what does the royal family do	This decision was primarily taken because Britain and her Empire were at war with Germany and given the British Royal Family 's strong German ancestry ; it was felt that its public image could be improved by choosing a more British house name .	0",,
"what does the royal family do	In the other realms of the Commonwealth royalty do not serve as Counsellors of State .	0",,
"what countries are very near to Haiti ?	Ayiti ( land of high mountains ) was the indigenous Ta√≠no or Amerindian name for the island .	0",,
"what countries are very near to Haiti ?	The total area of Haiti is and its capital is Port-au-Prince .	0",,
"what countries are very near to Haiti ?	Haitian Creole and French are the official languages .	0",,
"what countries are very near to Haiti ?	Haiti is the most populous of the predominantly Francophone independent nations in the Americas .	0",,
"what countries are very near to Haiti ?	Haiti is the most populous full member-state of the Caribbean Community ( CARICOM ) .	0",,
"what countries are very near to Haiti ?	It is the poorest country in the Americas as measured by the Human Development Index .	0",,
"what countries are very near to Haiti ?	A provisional government took control with security provided by the United Nations Stabilization Mission in Haiti ( MINUSTAH ) .	0",,
"what countries are very near to Haiti ?	The island has had a history of destructive earthquakes .	0",,
"what countries are very near to Haiti ?	A 7.0 magnitude earthquake struck Haiti on 12 January 2010 and devastated Port-au-Prince .	0",,
"what countries are very near to Haiti ?	Haitian government estimates were higher .	0",,
"what countries are very near to Haiti ?	United States aid organizations have donated $ 2 billion .	0",,
"what genre is bloody beetroots	The Bloody Beetroots is well-known for the black Venom mask he wears during performances .	0",,
"what genre is bloody beetroots	`` The Bloody Beetroots DJ set '' contains Sir Bob Cornelius Rifo and Tommy Tea .	0",,
"how is a telephone pagers made	One of the first practical paging services was launched in 1950 for physicians in the New York City area .	0",,
"how is a telephone pagers made	Physicians paid US $ 12 per month for the service and carried a ( 6 oz ) pager that would receive phone messages within ( 25 mi ) of a single transmitter tower .	0",,
"how is a telephone pagers made	The system was manufactured by the Reevesound Company and operated by Telanswerphone .	0",,
"How did Frida Kahlo die ?	Kahlo had allegedly wanted the year of her birth to coincide with the year of the beginning of the Mexican revolution so that her life would begin with the birth of modern Mexico .	0",,
"How did Frida Kahlo die ?	Kahlo had a volatile marriage with the famous Mexican artist Diego Rivera .	0",,
"How did Frida Kahlo die ?	She suffered lifelong health problems .	0",,
"How did Frida Kahlo die ?	Many of her health problems were the result of a traffic accident she survived as a teenager .	0",,
"How did Frida Kahlo die ?	I was born a painter . ''	0",,
"what bands played at Munich oktoberfest 2010	300px	0",,
"what bands played at Munich oktoberfest 2010	Theresienwiese on the day before Oktoberfest 2006	0",,
"how does milk turn into different types of cheeses	A platter with cheese and garnishes	0",,
"how does milk turn into different types of cheeses	Wheels of Gouda	0",,
"how does milk turn into different types of cheeses	Cheese is a generic term for a diverse group of milk-based food products .	0",,
"how does milk turn into different types of cheeses	It is produced by coagulation of the milk protein casein .	0",,
"how does milk turn into different types of cheeses	The solids are separated and pressed into final form .	0",,
"how does milk turn into different types of cheeses	Some cheeses have molds on the rind or throughout .	0",,
"how does milk turn into different types of cheeses	Most cheeses melt at cooking temperature .	0",,
"how does milk turn into different types of cheeses	Hundreds of types of cheese from various countries are produced .	0",,
"how does milk turn into different types of cheeses	A specialist seller of cheese is sometimes known as a cheesemonger .	0",,
"what does cf mean in legal citation ?	Legal citation signals are a set of brief abbreviated phrases or words used to clarify the authority or significance of a legal citation as it relates to a proposition .	0",,
"what does cf mean in legal citation ?	Signals help a reader quickly discern meaning or usefulness of a particular reference when the reference itself does not provide adequate information .	0",,
"what does cf mean in legal citation ?	Most citation signals are placed in front of the citation to which they apply .	0",,
"how did land armstrong become famous	He later completed graduate studies at the University of Southern California .	0",,
"how many jockeys rode secretariat	He is considered to be one of the greatest Thoroughbreds of all time .	0",,
"how many jockeys rode secretariat	He ranked second behind Man o ' War in The Blood-Horse 's List of the Top 100 U.S. Racehorses of the 20th Century .	0",,
"how many jockeys rode secretariat	He raced in Chenery 's Meadow Stable 's blue and white checkered colors and his groom was Eddie Sweat .	0",,
"what country is madrid spain in	The population of the city is roughly 3.3 million and the entire population of the Madrid metropolitan area is calculated to be around 6.5 million .	0",,
"what country is madrid spain in	The city spans a total of .	0",,
"what country is madrid spain in	The current mayor is Ana Botella from the People 's Party ( PP ) .	0",,
"what country is madrid spain in	Madrid also ranks among the 12 greenest European cities in 2010. < ref name= '' http : //www.citymayors.com/environment/greenest-cities-europe.html '' > Madrid is currently a Candidate City for the 2020 Summer Olympics .	0",,
"what country is madrid spain in	Cibeles Palace and Fountain have become the monument symbol of the city .	0",,
"how many places did the appian way road lead to	The path of the Via Appia and of the Via Appia Traiana .	0",,
"how many places did the appian way road lead to	Near Rome .	0",,
"how many places did the appian way road lead to	The Appian Way ( Latin and Italian : Via Appia ) was one of the earliest and strategically most important Roman roads of the ancient republic .	0",,
"how many places did the appian way road lead to	Appia teritur regina longarum viarum	0",,
"how many places did the appian way road lead to	`` the Appian way is the queen of the long roads ''	0",,
"how does british succession work	Electress Sophia of Hanover ( 1630‚Ä?714 )	0",,
"how does british succession work	The line of succession to the British throne is the ordered sequence of all those people eligible to succeed to the throne of the United Kingdom and the other 15 Commonwealth realms .	0",,
"how does british succession work	The Act of Settlement 1701 bestowed succession on the Electress Sophia of Hanover and her descendants while excluding Roman Catholics .	0",,
"how does british succession work	The line of succession is also used to select the Counsellors of State ( and a regent if the need arises ) under the provisions of the Regency Act 1937 .	0",,
"what factors stand out in the war against terror articles	The War on Terror ( also known as the Global War on Terrorism ) is a term commonly applied to an international military campaign which started as a result of the 11 September 2001 terrorist attacks on the United States .	0",,
"what factors stand out in the war against terror articles	This resulted in an international military campaign to eliminate al-Qaeda and other militant organizations .	0",,
"what factors stand out in the war against terror articles	The United Kingdom and many other NATO and non-NATO nations participate in the conflict .	0",,
"what factors stand out in the war against terror articles	The phrase 'War on Terror ' was first used by US President George W. Bush on 20 September 2001 .	0",,
"what caused the world war 2	Destroyer USS Shaw exploding after her forward magazine was detonated during the Attack on Pearl Harbor	0",,
"what caused the world war 2	The culmination of events that led to the outbreak of war are generally understood to be the 1939 invasion of Poland by Germany and Soviet Russia and the 1937 invasion of the Republic of China by the Empire of Japan .	1",,
"what caused the world war 2	These military aggressions were the result of decisions made by the authoritarian ruling Nazi elite in Germany and by the leadership of the Kwantung Army in Japan .	0",,
"what caused the world war 2	World War II started after these aggressive actions were met with an official declaration of war and/or armed resistance .	0",,
"what greek god is a hunter	The following is a list of gods and other divine and semi-divine figures from Greek mythology .	0",,
"how many cylinders mitsubishi galant 1997	The Mitsubishi Galant is an automobile manufactured by Mitsubishi Motors between 1969 and 2012 .	0",,
"what contributes to high blood pressure	The blood pressure in the circulation is principally due to the pumping action of the heart .	0",,
"what contributes to high blood pressure	Differences in mean blood pressure are responsible for blood flow from one location to another in the circulation .	0",,
"what contributes to high blood pressure	The rate of mean blood flow depends on the resistance to flow presented by the blood vessels .	0",,
"what contributes to high blood pressure	Mean blood pressure decreases as the circulating blood moves away from the heart through arteries and capillaries due to viscous losses of energy .	0",,
"how many votes needed before governor can not veto	Thus a veto allows its holder to protect the status quo .	0",,
"how many votes needed before governor can not veto	The concept of a veto body originated with the Roman consuls and tribunes .	0",,
"how many votes needed before governor can not veto	Either of the two consuls holding office in a given year could block a military or civil decision by the other ; any tribune had the power to unilaterally block legislation passed by the Roman Senate .	0",,
"how much sulfur dioxide is in propane	Sulfur dioxide ( also sulphur dioxide ) is the chemical compound with the formula .	0",,
"how much sulfur dioxide is in propane	Sulfur dioxide emissions are also a precursor to particulates in the atmosphere .	0",,
"how much sulfur dioxide is in propane	Both of these impacts are cause for concern over the environmental impact of these fuels .	0",,
"how many people die from myasthenia gravis per year	The disease incidence is 3‚Ä?0 cases per million per year and rising as a result of increased awareness .	1",,
"how many people die from myasthenia gravis per year	MG must be distinguished from congenital myasthenic syndromes that can present similar symptoms but offer no response to immunosuppressive treatments .	0",,
"How LCD Monitors Work	Reflective twisted nematic liquid crystal display .	0",,
"How LCD Monitors Work	Polarizing filter film with a vertical axis to polarize light as it enters .	0",,
"How LCD Monitors Work	Glass substrate with ITO electrodes .	0",,
"How LCD Monitors Work	The shapes of these electrodes will determine the shapes that will appear when the LCD is turned ON .	0",,
"How LCD Monitors Work	Vertical ridges etched on the surface are smooth .	0",,
"How LCD Monitors Work	Twisted nematic liquid crystal .	0",,
"How LCD Monitors Work	Glass substrate with common electrode film ( ITO ) with horizontal ridges to line up with the horizontal filter .	0",,
"How LCD Monitors Work	Polarizing filter film with a horizontal axis to block/pass light .	0",,
"How LCD Monitors Work	Reflective surface to send light back to viewer .	0",,
"How LCD Monitors Work	Liquid crystals do not emit light directly .	0",,
"How LCD Monitors Work	The LCD screen is more energy efficient and can be disposed of more safely than a CRT .	0",,
"How LCD Monitors Work	Its low electrical power consumption enables it to be used in battery -powered electronic equipment .	0",,
"How LCD Monitors Work	It is an electronically modulated optical device made up of any number of segments filled with liquid crystals and arrayed in front of a light source ( backlight ) or reflector to produce images in color or monochrome .	0",,
"How LCD Monitors Work	Liquid crystals were first discovered in 1888 .	0",,
"how many rooms in borgata hotel	The Borgata opened in July 2003 as a Las Vegas-style megaresort and is the top-grossing casino in Atlantic City .	0",,
"how many classes of vitamins	A bottle of high potency B-complex vitamin supplement pills .	0",,
"how many classes of vitamins	A vitamin ( or ) is an organic compound required by an organism as a vital nutrient in limited amounts .	0",,
"how many classes of vitamins	Thirteen vitamins are universally recognized at present .	0",,
"how many classes of vitamins	Vitamins have diverse biochemical functions .	0",,
"what country has the most muslims in the world	World Muslim population in millions	0",,
"what country has the most muslims in the world	Islam is the world 's second largest religion after Christianity .	0",,
"what country has the most muslims in the world	According to the Pew Research Center in 2010 there were 49 Muslim-majority countries .	0",,
"what country has the most muslims in the world	About 20 % of Muslims live in Arab countries .	0",,
"what country has the most muslims in the world	A study conducted by the Pew Research Center in 2010 and released January 2011 found that there are 1.62 billion Muslims around the world .	0",,
"what country has the most muslims in the world	The study found more Muslims in the United Kingdom than in Lebanon and more in China than in Syria .	0",,
"how do people use the land of rhode island	The State was also the last of the thirteen original colonies to ratify the United States Constitution .	0",,
"what country is dubai in	The emirate of Dubai is located on the southeast coast of the Persian Gulf on the Arabian Peninsula and is one of the seven emirates that make up the country .	0",,
"what country is dubai in	The city of Dubai is located on the emirate 's northern coastline and heads up the Dubai-Sharjah-Ajman metropolitan area .	0",,
"what country is dubai in	It remained under the tribe 's control when the United Kingdom assumed protection of the Sheikhdom in 1892 and joined the nascent United Arab Emirates upon independence in 1971 as the country 's second emirate .	0",,
"what country is dubai in	Dubai has recently attracted world attention through many innovative large construction projects and sports events .	0",,
"what country is dubai in	This increased attention has also highlighted labor and human rights issues concerning the city 's largely South Asian paid workforce .	0",,
"what country is dubai in	Dubai 's property market experienced a major deterioration in 2008‚Ä?009 as a result of the worldwide economic downturn following the financial crisis of 2007-2008 .	0",,
"what country is dubai in	The handful of new projects that are in the pipeline have been able to help Dubai real estate make a comeback .	0",,
"how many colleges are in illinois	The following is a list of colleges and universities in the U.S. state of Illinois .	0",,
"how much of earth is covered ocean water	Surface of the Atlantic ocean meeting the Earth 's planetary boundary layer and troposphere .	0",,
"how much of earth is covered ocean water	Waves on an ocean coast .	0",,
"how much of earth is covered ocean water	An ocean ( ; the World Ocean of classical antiquity ) is a body of saline water that composes a large part of a planet 's hydrosphere .	0",,
"how much of earth is covered ocean water	Earth is the only planet known to have an ocean ( or any large amounts of open liquid water ) .	0",,
"how much of earth is covered ocean water	The total volume is approximately 1.3 billion cubic kilometres ( 310 million cu mi ) with an average depth of .	0",,
"how much of earth is covered ocean water	Extraterrestrial oceans may be composed of a wide range of elements and compounds .	0",,
"how much of earth is covered ocean water	The Solar System 's gas giant planets are also believed to possess liquid atmospheric layers of yet to be confirmed compositions .	0",,
"how much of earth is covered ocean water	Ocean planets are a hypothetical type of planet with a surface completely covered with liquid .	0",,
"how did elvis presley contribute to the popularity of rock and roll ?	He became the leading figure of the newly popular sound of rock and roll with a series of network television appearances and chart-topping records .	0",,
"how did elvis presley contribute to the popularity of rock and roll ?	Presley is regarded as one of the most important figures of 20th-century popular culture .	0",,
"how did elvis presley contribute to the popularity of rock and roll ?	He is the best-selling solo artist in the history of popular music .	0",,
"how did elvis presley contribute to the popularity of rock and roll ?	He has been inducted into multiple music halls of fame .	0",,
"how is root beer made ?	A glass of root beer with foam	0",,
"how is root beer made ?	The historical root beer was analogous to small beer in that the process provided a drink with a very low alcohol content .	0",,
"how does uv light activated fluorescence	Fluorescent minerals emit visible light when exposed to ultraviolet light	0",,
"how does uv light activated fluorescence	Fluorescence is the emission of light by a substance that has absorbed light or other electromagnetic radiation .	0",,
"how does uv light activated fluorescence	It is a form of luminescence .	0",,
"what does informal logic mean	This definition reflects what had been implicit in their practice and what others were doing in their informal logic texts .	0",,
"what does informal logic mean	Frans H. van Eemeren writes that the label `` informal logic '' covers a `` collection of normative approaches to the study of reasoning in ordinary language that remain closer to the practice of argumentation than formal logic . ''	0",,
"what brought about the great depression	The Depression caused major political changes in America .	0",,
"what brought about the great depression	The Depression also resulted in an increase of emigration of people to other countries for the first time in American history .	0",,
"what brought about the great depression	Racial tensions also increased during this time .	0",,
"what brought about the great depression	The Great Depression of the 1930s started with the stock market crash of October 1929 .	0",,
"what country is turkey in	The Mediterranean Sea is to the south ; the Aegean Sea is to the west ; and the Black Sea is to the north .	0",,
"what country is turkey in	Turkey 's location at the crossroads of Europe and Asia makes it a country of significant geostrategic importance .	0",,
"what country is turkey in	The vast majority of the population is Muslim .	0",,
"what country is turkey in	Turkey 's growing economy and diplomatic initiatives have led to its recognition as a regional power .	0",,
"what country is turkey in	Turkey is the world 's 17th largest economy by nominal GDP and the 16th largest by purchasing power parity .	0",,
"what criminal act did whoopi goldberg commit	She received a nomination for the Academy Award for Best Actress and won her first Golden Globe Award for her role in the film .	0",,
"what criminal act did whoopi goldberg commit	This performance won her a second Golden Globe and an Academy Award for Best Supporting Actress ; this made Goldberg only the second black woman in the history of the Academy Awards to win an acting Oscar‚Äîthe first being Hattie McDaniel who won for Gone With the Wind in 1939 .	0",,
"what criminal act did whoopi goldberg commit	Goldberg has been nominated for 13 Emmy Awards for her work in television .	0",,
"what criminal act did whoopi goldberg commit	She was co-producer of the popular game show Hollywood Squares from 1998 to 2004 .	0",,
"what criminal act did whoopi goldberg commit	She has been the moderator of the daytime talk show The View since 2007 .	0",,
"How many pages of text can you store onto a cd ?	A CD-ROM ( ) is a pre-pressed compact disc which contains data .	0",,
"How many pages of text can you store onto a cd ?	The name is an acronym which stands for `` Compact Disc Read-only memory `` .	0",,
"How many pages of text can you store onto a cd ?	The Yellow Book is the technical standard that defines the format of CD-ROMs .	0",,
"How many pages of text can you store onto a cd ?	It adapted the format to hold any form of data .	0",,
"how many spots on the blackhawks roster were turned over	They are members of the Central Division of the Western Conference of the National Hockey League ( NHL ) .	0",,
"how many spots on the blackhawks roster were turned over	Since the Blackhawks have played their home games at the United Center after having spent 65 years playing at Chicago Stadium .	0",,
"what do people usually give up for lent	Lent celebrants carrying out a street procession during Holy Week .	0",,
"what do people usually give up for lent	The violet color is often associated with penance and detachment .	0",,
"what do people usually give up for lent	In the general Latin-rite and most Western denominations Lent is taken to run from Ash Wednesday to Maundy Thursday ( Holy Thursday ) morning or to Easter Eve .	0",,
"what do people usually give up for lent	In most Western traditions the Sundays are not counted as part of Lent ; thus the period from Ash Wednesday until Easter consists of 40 days when the Sundays are excluded .	0",,
"how did the chernobyl nuclear disaster affect nature	Location of Chernobyl nuclear power plant	0",,
"how did the chernobyl nuclear disaster affect nature	The abandoned city of Pripyat with Chernobyl plant in the distance	0",,
"how did the chernobyl nuclear disaster affect nature	Abandoned housing blocks in Pripyat	0",,
"how do you use a subjective complement	An adjective following the copula and describing the subject is called a predicative adjective .	0",,
"how do you use a subjective complement	In either case the predicative complement in effect mirrors the subject .	0",,
"what artist has won the most grammys	This page only includes the competitive awards won by various artists .	0",,
"what artist has won the most grammys	The page however does include other non-performance related Grammys ( known as the Craft & Production Fields ) that may have been presented to the artist ( s ) .	0",,
"how many albums has eminem sold in his career	Eminem is one of the best-selling artists in the world and is the best-selling artist of the 2000s .	0",,
"how many albums has eminem sold in his career	The same magazine declared him The King of Hip Hop .	0",,
"how many albums has eminem sold in his career	The album was a critical and commercial failure .	0",,
"how many albums has eminem sold in his career	He gained mainstream popularity in 1999 after the release of his major-label debut album The Slim Shady LP .	0",,
"how many albums has eminem sold in his career	The LP also earned Eminem his first Grammy Award for Best Rap Album .	0",,
"how many albums has eminem sold in his career	This was followed by another studio release in 2004 titled Encore .	0",,
"how many albums has eminem sold in his career	Eminem then went on hiatus after touring in 2005 .	0",,
"how many feet in an acre	The acre is a unit of area used in the imperial and U.S. customary systems .	0",,
"how many feet in an acre	An acre is about 40 % of a hectare ‚Ä?slightly smaller than an American football field .	0",,
"how many feet in an acre	The most commonly used acre today is the international acre .	0",,
"how many feet in an acre	In the United States both the international acre and the slightly different US survey acre are in use .	0",,
"how many feet in an acre	The most common use of the acre is to measure tracts of land .	0",,
"how many feet in an acre	One international acre is defined as 4046.8564224 square metres .	0",,
"What implication ( s ) does the law of conservation of matter have for humans ?	Antoine Lavoisier 's discovery of the Law of Conservation of Mass led to many new findings in the 19th century .	0",,
"What implication ( s ) does the law of conservation of matter have for humans ?	Joseph Proust 's law of definite proportions and John Dalton 's atomic theory branched from the discoveries of Antoine Lavoisier .	0",,
"What implication ( s ) does the law of conservation of matter have for humans ?	Lavoisier 's quantitative experiments revealed that combustion involved oxygen rather than what was previously thought to be phlogiston .	0",,
"what do pigs eat	Young and small pigs are known as piglets .	0",,
"what do pigs eat	Pigs are omnivores and are highly social and intelligent animals .	1",,
"how much data did the 3.5 inch floppy hold	They are read and written by a floppy disk drive ( FDD ) .	0",,
"what does a cutter do	An animated diagram of a cutter	0",,
"what does a cutter do	Some pitchers use a cutter as a way to prevent hitters from expecting their regular fastballs .	0",,
"what does a cutter do	A common technique used to throw a cutter is to use a four-seam fastball grip with the baseball set slightly off center in the hand .	0",,
"what does a cutter do	The cutter is typically 2‚Ä? mph slower than a pitcher 's four-seam fastball .	0",,
"what it takes aerosmith album	`` What It Takes '' is a power ballad by American hard rock band Aerosmith .	1",,
"what it takes aerosmith album	It was released in 1990 as the third single from Aerosmith 's critically and commercially successful 1989 album Pump .	1",,
"what it takes aerosmith album	The album version of the song is followed by an untitled hidden track .	0",,
"what does the goddess athena tell odysseus he is to do ?	Detail of an ancient Roman mosaic of Ulysses in Tunisia	0",,
"what does the goddess athena tell odysseus he is to do ?	Odysseus also plays a key role in Homer 's Iliad and other works in that same Epic Cycle .	0",,
"what does the goddess athena tell odysseus he is to do ?	He is most famous for the ten eventful years he took to return home after the decade-long Trojan War and his famous Trojan Horse ploy to capture the city of Troy .	0",,
"what county is erie colorado	Erie is a Statutory Town in Boulder and Weld counties in the U.S. state of Colorado .	1",,
"what county is erie colorado	The Board of Trustees serves as the legislative and governing body of the Town of Erie and is responsible for establishing Town policies and goals .	0",,
"WHAT BOARD DOES PS3 SEPT 2007 HAVE	The is a home video game console produced by Sony Computer Entertainment .	0",,
"WHAT BOARD DOES PS3 SEPT 2007 HAVE	The PlayStation 3 competes with Microsoft 's Xbox 360 and Nintendo 's Wii as part of the seventh generation of video game consoles .	0",,
"WHAT BOARD DOES PS3 SEPT 2007 HAVE	The console was first officially announced at E3 2005 .	0",,
"WHAT BOARD DOES PS3 SEPT 2007 HAVE	It was the first and currently only console to use Blu-ray Disc as its primary storage medium .	0",,
"how did dali 's works change over time	His painterly skills are often attributed to the influence of Renaissance masters .	0",,
"what classes are considered humanities	Philosopher Plato by Silanion	0",,
"what classes are considered humanities	Scholars working in the humanities are sometimes described as `` humanists '' .	0",,
"what christmas tree did white house have in 2011 AND where was it from	The 2005 Blue Room Christmas Tree	0",,
"what christmas tree did white house have in 2011 AND where was it from	The first indoor Christmas tree was installed in the White House sometime in the 19th century ( there are varying claims as to the exact year ) and since 1961 the tree has had a themed motif at the discretion of the First Lady of the United States .	0",,
"what does the president of the usa do	The President of the United States of America ( POTUS ) is the head of state and head of government of the United States .	1",,
"what does the president of the usa do	The president leads the executive branch of the federal government and is the commander-in-chief of the United States Armed Forces .	1",,
"what does the president of the usa do	The president is frequently described as the most powerful person in the world .	0",,
"how does taste differ from the other senses ?	Senses are physiological capacities of organisms that provide data for perception .	0",,
"how does taste differ from the other senses ?	Humans have a multitude of senses .	0",,
"how does taste differ from the other senses ?	Some animals may also intake and interpret sensory stimuli in very different ways .	0",,
"what do Acarina eat ?	Spiders ( order Araneae ) are air-breathing arthropods that have eight legs and chelicerae with fangs that inject venom .	0",,
"what do Acarina eat ?	They are the largest order of arachnids and rank seventh in total species diversity among all other groups of organisms .	0",,
"what do Acarina eat ?	Their abdomens bear appendages that have been modified into spinnerets that extrude silk from up to six types of silk glands within their abdomen .	0",,
"what do Acarina eat ?	Male spiders identify themselves by a variety of complex courtship rituals to avoid being eaten by the females .	0",,
"how many seasons of grey 's anatomy are there	Dr. Arizona Robbins ( Jessica Capshaw ) is given series regular status at the beginning of the sixth season .	0",,
"how many seasons of grey 's anatomy are there	Grey 's Anatomy is the highest-rated drama in the key 18‚Ä?9 demographic .	0",,
"how is schizophrenia diagnosed ?	Schizophrenia ( or ) is a mental disorder characterized by a breakdown of thought processes and by a deficit of typical emotional responses .	0",,
"how is schizophrenia diagnosed ?	Diagnosis is based on observed behavior and the patient 's reported experiences .	1",,
"how is schizophrenia diagnosed ?	The many possible combinations of symptoms have triggered debate about whether the diagnosis represents a single disorder or a number of discrete syndromes .	0",,
"how is schizophrenia diagnosed ?	Psychotherapy and vocational and social rehabilitation are also important in treatment .	0",,
"how does gilgamesh consequently view his immortality	Four of these were used as source material for a combined epic in Akkadian .	0",,
"how does gilgamesh consequently view his immortality	Only a few fragments of it have survived .	0",,
"how does gilgamesh consequently view his immortality	The later `` Standard Babylonian '' version dates from the 13th to the 10th centuries BC and bears the incipit Sha naqba ƒ´muru ( `` He who Saw the Deep '' ) .	0",,
"how does gilgamesh consequently view his immortality	Some of the best copies were discovered in the library ruins of the 7th-century BC Assyrian king Ashurbanipal .	0",,
"how does gilgamesh consequently view his immortality	The story centers on a friendship between Gilgamesh and Enkidu .	0",,
"how does gilgamesh consequently view his immortality	Enkidu is a wild man created by the gods as Gilgamesh 's equal to distract him from oppressing the people of Uruk .	0",,
"how does gilgamesh consequently view his immortality	He learns that `` The life that you are seeking you will never find .	0",,
"how many eukaryotic cells are in a animal ?	A eukaryote ( or ) is an organism whose cells contain complex structures enclosed within membranes .	0",,
"how many eukaryotic cells are in a animal ?	Eukaryotes may more formally be referred to as the taxon Eukarya or Eukaryota .	0",,
"how many eukaryotic cells are in a animal ?	The group also includes many unicellular organisms .	0",,
"how many eukaryotic cells are in a animal ?	Cell division in eukaryotes is different from that in organisms without a nucleus ( Prokaryote ) .	0",,
"how many eukaryotic cells are in a animal ?	There are two types of division processes .	0",,
"how many eukaryotic cells are in a animal ?	Eukaryotes represent a tiny minority of all living things ; even in a human body there are 10 times more microbes than human cells .	0",,
"how many eukaryotic cells are in a animal ?	They are considered to have first developed approximately 1.6‚Ä?.1 billion years ago .	0",,
"how much did internet fraud amount to	A very common form of Internet fraud is the distribution of rogue security software .	0",,
"what forces are included in the coalition force	Its main purpose is to train the Afghan National Security Forces ( ANSF ) and assist Afghanistan in rebuilding key government institutions but is also engaged in the 2001-present war with insurgent groups .	0",,
"what forces are included in the coalition force	About 400 of these were used by American‚Äêled NATO forces and 300 by ANSF .	0",,
"what happens to the chemical composition of cocaine when you add it to alcohol	Cocaine ( benzoylmethylecgonine ) ( INN ) is a crystalline tropane alkaloid that is obtained from the leaves of the coca plant .	0",,
"what happens to the chemical composition of cocaine when you add it to alcohol	It is addictive because of its effect on the mesolimbic reward pathway .	0",,
"what happens to the chemical composition of cocaine when you add it to alcohol	This causes it to cross the blood‚Äìbrain barrier far better than other psychoactive chemicals and may even induce blood-brain barrier breakdown .	0",,
"what kind of cut is tri tip	The tri-tip is a cut of beef from the bottom sirloin primal cut .	1",,
