String,new_string
how many episodes of Lost were there,[{'generated_text': 'how many people watched the season live ?'}]
what does it mean if i 'm flat footed ?,[{'generated_text': 'what is the arch like in some people ?'}]
what age group is generation x,"[{'generated_text': 'who first used the term "" Tales for an Accelerated culture "" ?'}]"
how do you heal a bed sore,[{'generated_text': 'what should we do to reduce the risk of pressure ulcers ?'}]
what happen to the boys that played in `` overboard '' ?,[{'generated_text': 'where can we most probably read this text ?'}]
how many black people live in green bay,[{'generated_text': 'how far is it from the city of Milwaukee to the airport ?'}]
what does LH do,"[{'generated_text': 'what does the word "" synergistically "" mean ?'}]"
how is selena,[{'generated_text': 'why wasSelena Forever made into a musical ?'}]
how do I determine size needed for german world war 2 helmet,[{'generated_text': 'why did the Imperial German Army begin to replace the traditional boiled-leather Pickelha'}]
what glows in the dark,"[{'generated_text': 'what is "" Glow-in-the-dark "" ?'}]"
what cities are airline hubs,[{'generated_text': 'what is the common but informal use for the phrase airline hub ?'}]
what did sparta do around 650 bc,[{'generated_text': 'which is not the reason why modern Sparta is important to the ancient world ?'}]
what fantasy american football means,[{'generated_text': 'how many teams are there in a football game ?'}]
how many people in world today,[{'generated_text': 'what is the total number of living humans on earth ?'}]
how many muscles in the body,[{'generated_text': 'how many examples are given by the writer to show the different muscle types ?'}]
how much does a gold bar weigh,[{'generated_text': 'what is special about the Good Delivery gold bar ?'}]
what does an advocacy website promote ?,"[{'generated_text': 'what does ""obbying "" mean ?'}]"
what does the green mean on the mexican flag,[{'generated_text': 'what is at the bottom of the coat of arms ?'}]
how many cubes are in the us ?,[{'generated_text': 'what is the direct and indirect tax that dMOs produce ?'}]
how often do elk have sex,[{'generated_text': 'what are male elk like ?'}]
what does a lion need,[{'generated_text': 'what kind of lion is Panthera leo ?'}]
What Console Of The Seventh Generation Sells Best,[{'generated_text': 'what was the new type of breakthrough in technology ?'}]
what does it say on the doll sgt . peppers,"[{'generated_text': 'who wrote "" Sgt . Pepper \'s Lonely Hearts Club Band "" ?'}]"
what does the temporal lobe part of the brain do,[{'generated_text': 'what is the location of the temporal lobe ?'}]
how many lungs does a human have,[{'generated_text': 'how many lungs are there in a human body ?'}]
What a Margarita contains,[{'generated_text': 'what is the most common tequila-based drink in the us ?'}]
what color is burgundy,"[{'generated_text': 'when was the first recorded use of "" burgundy "" as a color name in english ?'}]"
how many british soldiers were missing,"[{'generated_text': ""what 's the date of the soldier 's disappearance ?""}]"
what is the population of center tx,[{'generated_text': 'where is the Rio theater ?'}]
what causes photo red eye,[{'generated_text': 'what is the red-eye effect in photography ?'}]
how many students go to santa barbara,[{'generated_text': 'how many degrees has the university won ?'}]
what day is the feast of st joseph 's ?,[{'generated_text': 'who celebrates the feast of Saint Joseph on the day of the year ?'}]
what culture is mariah carey,[{'generated_text': 'when wasCarey named the best-selling female artist of the millennium ?'}]
what do bumble bees do,[{'generated_text': 'where did they come from ?'}]
how many states have open carry gun laws,"[{'generated_text': ""what 's the response of the gun rights community to open carry ?""}]"
what country does not have nuclear plants,[{'generated_text': 'how many nuclear power stations are there in the world ?'}]
how was color introduced in film ?,[{'generated_text': 'what was the first color cinematography system invented ?'}]
what artist have song with ashanti ?,[{'generated_text': 'how many times hasAshanti been on the list of the 100 best selling music songs since'}]
what came first army or air force,[{'generated_text': 'what was the major difference between theory and fact ?'}]
what does the FOIA apply to,[{'generated_text': 'what is FOIA ?'}]
how many countries are member of the eu ?,[{'generated_text': 'how many members are there in the european union ?'}]
how many whales are in the world,[{'generated_text': 'why is the team logo on the shirt a red dragon ?'}]
what causes cardiomyopathy,[{'generated_text': 'what is the most common form of cardiomyopathy ?'}]
what does shut the fuck up mean in spanish ?,"[{'generated_text': 'what is the origin of the word ""Fuck "" ?'}]"
how many vehicles are registered in the us,[{'generated_text': 'what is the largest passenger vehicle market of any country in the world ?'}]
what does a laboratory in a gynecologist office consist of,[{'generated_text': 'what is this text about ?'}]
what cards do you need in poker to get a royal flush,"[{'generated_text': 'according to the ranking , how many hand category are there in a shuffled deck ?'}]"
what kind of citrus comes from cuba,[{'generated_text': 'how much is used for crop cultivation in Cuba ?'}]
how many states are involved in the mega million drawing,[{'generated_text': 'how many numbers are used to choose the winning numbers ?'}]
what episode do they play the second opening in Death note,[{'generated_text': 'how many issues has the series been published in all over the world ?'}]
what does japan call their halloween,"[{'generated_text': 'what does the word "" samhain "" mean ?'}]"
how many taxis in NY,[{'generated_text': 'who is the text written for ?'}]
what does xylem transport,[{'generated_text': 'how many kinds of transport tissue are mentioned ?'}]
how many countries do not allow women to vote,"[{'generated_text': ""when was women 's suffrage made ?""}]"
what do jehovah witnesses believe,"[{'generated_text': ""what is the position of the Jehovah 's Witnesses according to the text ?""}]"
WHAT DID MARLON BRANDO DO WITH THE BUTTER IN THE MOVIE LAST TANGO IN PARIS,[{'generated_text': 'what was the reaction of the public to the film ?'}]
how old old is xp operating system,[{'generated_text': 'how was the first version of Windows to use product activation ?'}]
what does por una cabeza mean,"[{'generated_text': 'what \'s the theme of the song "" Por una cabeza "" ?'}]"
what happens when the baroreceptor reflex is activated,[{'generated_text': 'what is the function of the baroreceptor reflex ?'}]
how many pawns in chess,[{'generated_text': 'what is the file on which we stand ?'}]
what countries allow gays to openly serve in the military,[{'generated_text': 'what is the policy of most developed countries on the enlistment of non-heterosexual people'}]
how is hydrogen produced,[{'generated_text': 'what is the major technology for direct production of hydrogen ?'}]
how many percent is a basis point,[{'generated_text': 'what is a basis point ?'}]
what does the royal family do,[{'generated_text': 'why did the british monarch make the decision ?'}]
what countries are very near to Haiti ?,[{'generated_text': 'how many countries are there in the european union ?'}]
what genre is bloody beetroots,[{'generated_text': 'what does the black Venom mask belong to ?'}]
how is a telephone pagers made,[{'generated_text': 'what was the disadvantage of the pager ?'}]
How did Frida Kahlo die ?,[{'generated_text': 'why didahlo want the year of her birth to be ?'}]
what bands played at Munich oktoberfest 2010,[{'generated_text': 'what did theresienwiese do on the day before Oktoberfest 2006'}]
how does milk turn into different types of cheeses,[{'generated_text': 'what is a specialist seller of cheese ?'}]
what does cf mean in legal citation ?,[{'generated_text': 'what is a proper use of the legal citation signal ?'}]
how did land armstrong become famous,[{'generated_text': 'what did he study in the university ?'}]
how many jockeys rode secretariat,[{'generated_text': 'who is Eddie Sweat ?'}]
what country is madrid spain in,[{'generated_text': 'how many greenest cities are there in 2010 ?'}]
how many places did the appian way road lead to,[{'generated_text': 'what is the queen of the long roads ?'}]
how does british succession work,"[{'generated_text': 'according to the text , who can get the line of succession ?'}]"
what factors stand out in the war against terror articles,"[{'generated_text': ""what was the phrase ' war on Terror ' used by ?""}]"
what caused the world war 2,[{'generated_text': 'what was the result of these military aggressions ?'}]
what greek god is a hunter,[{'generated_text': 'which is true according to the text ?'}]
how many cylinders mitsubishi galant 1997,[{'generated_text': 'what is the Mitsubishi Galant ?'}]
what contributes to high blood pressure,[{'generated_text': 'what should be done to increase the blood pressure in the circulation ?'}]
how many votes needed before governor can not veto,[{'generated_text': 'how can a veto body protect the status quo ?'}]
how much sulfur dioxide is in propane,[{'generated_text': 'what are the possible environmental impacts of these fuels ?'}]
how many people die from myasthenia gravis per year,[{'generated_text': 'how many kinds of diseases are mentioned in this article ?'}]
How LCD Monitors Work,[{'generated_text': 'what is special about the nematic liquid crystal display ?'}]
how many rooms in borgata hotel,[{'generated_text': 'which word can be used to describe the Borgata ?'}]
how many classes of vitamins,[{'generated_text': 'what is a vitamin ?'}]
what country has the most muslims in the world,[{'generated_text': 'how many people are there in the world according to the study ?'}]
how do people use the land of rhode island,[{'generated_text': 'who ratify the u.s.a. ?'}]
what country is dubai in,[{'generated_text': 'how many emirates make up the country ?'}]
how many colleges are in illinois,[{'generated_text': 'how many universities are there in the us ?'}]
how much of earth is covered ocean water,[{'generated_text': 'which ocean is a possible type of planet with open liquid water ?'}]
how did elvis presley contribute to the popularity of rock and roll ?,[{'generated_text': 'why isPresley regarded as one of the most important figures of 20th-century popular'}]
how is root beer made ?,[{'generated_text': 'what is the historical root beer ?'}]
how does uv light activated fluorescence,[{'generated_text': 'what is fluorescence ?'}]
what does informal logic mean,"[{'generated_text': 'what does the label "" formal logic "" mean ?'}]"
what brought about the great depression,[{'generated_text': 'why was the stock market crash of October 1929 ?'}]
what country is turkey in,[{'generated_text': 'what makes it a country of significant geostrategic importance ?'}]
what criminal act did whoopi goldberg commit,[{'generated_text': 'how many times has Goldberg won an acting award ?'}]
How many pages of text can you store onto a cd ?,"[{'generated_text': 'what is a "" Compact Disc read-only memory "" ?'}]"
how many spots on the blackhawks roster were turned over,[{'generated_text': 'when did the Blackhawks play their home games at the United Center ?'}]
what do people usually give up for lent,[{'generated_text': 'how many days are counted as part of Lent according to the text ?'}]
how did the chernobyl nuclear disaster affect nature,[{'generated_text': 'what is the location of the nuclear power plant ?'}]
how do you use a subjective complement,[{'generated_text': 'what kind of adjective is a predicative adjective ?'}]
what artist has won the most grammys,[{'generated_text': 'how many Grammys did the artists win ?'}]
how many albums has eminem sold in his career,[{'generated_text': 'which album earned Eminem his first Grammy Award for Best Rap Album ?'}]
how many feet in an acre,[{'generated_text': 'what is the most common use of the acre today ?'}]
What implication ( s ) does the law of conservation of matter have for humans ?,[{'generated_text': 'what led to many new findings in the 19th century ?'}]
what do pigs eat,[{'generated_text': 'what kind of pig is a pig ?'}]
how much data did the 3.5 inch floppy hold,[{'generated_text': 'what are read and written by a floppy disk drive ?'}]
what does a cutter do,[{'generated_text': 'how fast is a cutter ?'}]
what it takes aerosmith album,"[{'generated_text': 'what \'s the title of the song "" what it takes "" ?'}]"
what does the goddess athena tell odysseus he is to do ?,[{'generated_text': 'who plays the most important role in Trojan war ?'}]
what county is erie colorado,[{'generated_text': 'who is responsible for the Town of Erie ?'}]
WHAT BOARD DOES PS3 SEPT 2007 HAVE,[{'generated_text': 'why did the PlayStation 3 use Blu-ray Disc as its primary storage medium ?'}]
how did dali 's works change over time,[{'generated_text': 'what is the influence of Renaissance masters on painterly skills ?'}]
what classes are considered humanities,[{'generated_text': 'what kind of people are philosopher Plato ?'}]
what christmas tree did white house have in 2011 AND where was it from,[{'generated_text': 'when was the first indoor Christmas tree in the world ?'}]
what does the president of the usa do,[{'generated_text': 'who is often described as the most powerful person in the world ?'}]
how does taste differ from the other senses ?,[{'generated_text': 'what can we learn form the text ?'}]
what do Acarina eat ?,[{'generated_text': 'how many kinds of spider are there in all kinds of animals ?'}]
how many seasons of grey 's anatomy are there,"[{'generated_text': 'what is ""Grey \'s Anatomy "" ?'}]"
how is schizophrenia diagnosed ?,[{'generated_text': 'which of the statements would the writer probably agree with ?'}]
how does gilgamesh consequently view his immortality,[{'generated_text': 'who wrote the incipit Sha naqba īmuru ?'}]
how many eukaryotic cells are in a animal ?,[{'generated_text': 'how many kinds of cell division are mentioned in the text ?'}]
how much did internet fraud amount to,[{'generated_text': 'what is a very common form of fraud ?'}]
what forces are included in the coalition force,[{'generated_text': 'how many soldiers were there in the 2001-present war with the Taliban ?'}]
what happens to the chemical composition of cocaine when you add it to alcohol,[{'generated_text': 'what is cocaine ?'}]
what kind of cut is tri tip,[{'generated_text': 'what is a triple-tip ?'}]
what county is willmar mn in ?,[{'generated_text': 'which is not right about willmar ?'}]
how much does the speaker of the house make ',[{'generated_text': 'who is the speaker of the u.s.a. ?'}]
how do you determine pump frame type,[{'generated_text': 'what is the diamond frame ?'}]
How did the pendulum improve upon earlier clocks ?,[{'generated_text': 'what is a pendulum ?'}]
what did bull run end for the north,[{'generated_text': 'what did the confederate reinforcements do ?'}]
how does weather happen,[{'generated_text': 'what is the function of air pressure ?'}]
how many music awards has katy perry won ?,"[{'generated_text': ""what 's the relationship betweenPerry and Capitol Records ?""}]"
how many countries have english as an official language,[{'generated_text': 'how many countries and territories are mentioned in the article ?'}]
how often are meetings held for businesses,[{'generated_text': 'where can you probably find this text ?'}]
how many innings makes an official game,[{'generated_text': 'why were large numbers hung on the side of the B & o Warehouse at Oriole Park'}]
how did phone numbers get split 3 than 4,[{'generated_text': 'which number determines the necessary length of the telephone number ?'}]
how will a uk collection company collect money when you are in the usa,[{'generated_text': 'what is a collection agency ?'}]
how was marijuana discovered,[{'generated_text': 'what is the similarity between cannabigerol and CBG ?'}]
how many quarterbacks played for the redskins in 1980,[{'generated_text': 'who was the first owner of the Redskins ?'}]
what branch of the military is delta force,[{'generated_text': 'what was the Combat Applications Group before it was renamed the ACE ?'}]
what form of decay does not change the atomic number of them decaying atom ?,[{'generated_text': 'which product is responsible for nuclear transmutation ?'}]
how long does a back waxing last,[{'generated_text': 'how is waxing done ?'}]
what ancient cultures had marketplaces,[{'generated_text': 'how long did ancient Rome exist according to the text ?'}]
what does the doghouse do in a glass furnace,[{'generated_text': 'what kind of jar is this ?'}]
what causes the seasons,[{'generated_text': 'how many ecological seasons are mentioned in the text ?'}]
what happened on april 11 1861 at fort sumter,[{'generated_text': 'what was the first crisis of the administration of Abraham Lincoln ?'}]
what does 3g network mean,"[{'generated_text': 'according to the 3G telecommunication networks , how much should you pay if you want to'}]"
what does Mazel tov ! mean,"[{'generated_text': 'what is "" Mazel tov ! "" ?'}]"
How Do You Get Hepatitis C,"[{'generated_text': 'how many people are infected with ( originally `` non- A non- B hepatitis "" )'}]"
how tennessee became a state,[{'generated_text': 'how many states are mentioned in the text ?'}]
how long should i wear my cock ring,"[{'generated_text': 'what is a "" tension ring "" ?'}]"
how many baseball teams usa,[{'generated_text': 'how many teams are there in MLB ?'}]
how does Delaware support its claim to being the first state ?,[{'generated_text': 'how many states are there in the us ?'}]
what can electrical energy be transformed into,[{'generated_text': 'what can be used to change one form of energy to another ?'}]
how many teams start nhl playoffs,[{'generated_text': 'how many countries does the NHL have players from ?'}]
how many amendments in the US constitution,[{'generated_text': 'what is the procedure for amending the u.s.a. ?'}]
what does fidelity do,[{'generated_text': 'what is the relationship between the two companies ?'}]
what does MOAT pic service mean in Geico ?,[{'generated_text': 'when was the sixth month of that year ?'}]
how is sociology different from thinking,"[{'generated_text': 'according to the text , what is true about social psychology ?'}]"
what causes thunder sound,[{'generated_text': 'what is the speed of lightning ?'}]
what do do the colors on the flag of palma de mallorca mean ?,[{'generated_text': 'how many people live in the city of Ciutat now ?'}]
how does lex luthor die in superman,[{'generated_text': 'who ranked Luthor # 4 in the past ?'}]
what day is the federal holiday for Martin Luther King Jr .,[{'generated_text': 'what was the date of the campaign for a federal holiday in honor of King ?'}]
how many camera phones,[{'generated_text': 'what is a camera phone ?'}]
what happened to superman in the comics,[{'generated_text': 'why was the story written as tributes to it ?'}]
how many horsepower does a bugatti veyron have,[{'generated_text': 'why was the original car named car of the Decade ?'}]
what does it mean to take communion in the catholic church,[{'generated_text': 'how many kinds of words are used in the catechism ?'}]
how many public universities are in the state of Louisiana,[{'generated_text': 'where can you probably find this article ?'}]
how many words are in a short story,"[{'generated_text': ""what is the writer 's opinion about short stories ?""}]"
what area code is 810,[{'generated_text': 'what is the telephone area code serving eastern Michigan ?'}]
how many babies are in a typical raccoon litter,[{'generated_text': 'what do the kits do in prairies ?'}]
what kind of earthquake was haiti,[{'generated_text': 'how many people were killed in the earthquake ?'}]
what kind of horse was mr ed,[{'generated_text': 'what is the running joke about ?'}]
What does Rapture meaning in a theological sense ?,[{'generated_text': 'how many senses are mentioned in the article ?'}]
where in the bible that palestine have no land in jerusalem,[{'generated_text': 'why did the Philistines use the general Canaanite language ?'}]
what are corporation balance,[{'generated_text': 'what is the balance sheet used for ?'}]
what professional baseball pitchers were on the Schaumburg Flyers,[{'generated_text': 'what did the Converse ads do ?'}]
what movies has rachel weisz turned down,[{'generated_text': 'how old is Rachel Hannah weisz ?'}]
what made the civil war different from others,[{'generated_text': 'which is not the reason for the civil war in 1860 ?'}]
where to buy potato bread made without wheat,"[{'generated_text': 'what is "" potato bread "" ?'}]"
what states are on pacific daylight time,[{'generated_text': 'which city is the largest in the Pacific time Zone ?'}]
what year was the 8 track invented,[{'generated_text': 'what is the similarity of the two cartridges ?'}]
what leaves are in pharaoh ramses 2 mummy,"[{'generated_text': 'why did the ancient Egyptians call him the `` Great Ancestor "" ?'}]"
who owns the texas rangers,[{'generated_text': 'why did the Rangers win their first pennant ?'}]
who killed julius caesar,"[{'generated_text': 'why was Caesar called a "" dictator in perpetuity "" ?'}]"
what are the official languages of nigeria,[{'generated_text': 'how many languages are spoken in the us ?'}]
what part of the government is the federal court judge in ?,"[{'generated_text': 'why are these judges sometimes called "" Article III judges "" ?'}]"
who has nellie furtado collaborated with,[{'generated_text': 'what did the writer win a 2001 Juno award for Single of the year and a 2002 Grammy'}]
Who discovered the sense of touch ?,[{'generated_text': 'which is the correct mapping of the body surfaces in the brain ?'}]
what is a magnolias kingdom ?,[{'generated_text': 'what is considered to represent an ancestral state of the Magnolias ?'}]
who wrote white christmas,[{'generated_text': 'when did the story happen ?'}]
what are the different types of cross country skiing,[{'generated_text': 'which is not related to cross-country skiing ?'}]
what are use taxes ?,[{'generated_text': 'what kind of goods and services are not taxable in the us ?'}]
who pulmonary hypertension,[{'generated_text': 'what is pulmonary hypertension ?'}]
what are sanuks made of,[{'generated_text': 'how did the Fur Real get its name ?'}]
what is an array in programming,"[{'generated_text': ""what is the writer 's opinion about arrays ?""}]"
who has obama appointed to the supreme court,[{'generated_text': 'who has not made any recess appointments to the federal courts ?'}]
what are the major airports in mexico,[{'generated_text': 'what are shown in the text ?'}]
what are non-agency bond,[{'generated_text': 'why are the offerings of these agencies not guaranteed by the government ?'}]
Who Discovered Nuclear Power,[{'generated_text': 'how many examples are given to show the use of nuclear energy ?'}]
when did the cold war start,[{'generated_text': 'why was the end of the Cold war so named ?'}]
what state is pike 's peak in ?,[{'generated_text': 'how many acres is the park covered by trees ?'}]
when did talk radio begin in the U.S. ?,[{'generated_text': 'what is talk radio ?'}]
what state is jakarta in ?,[{'generated_text': 'how long has jakarta been the capital of the india ?'}]
what year was air conditioning created,[{'generated_text': 'what is an air conditioner ?'}]
what song is sung in 6 foot 7 foot,"[{'generated_text': 'who produced the song "" Day-o ( the Banana Boat Song ) ?'}]"
what we talkin about band member,[{'generated_text': 'what did the group do throughout their career ?'}]
who put the bible in verses,[{'generated_text': 'what is the text of the bible ?'}]
what is a book index,[{'generated_text': 'what is an index ?'}]
who created facebook,"[{'generated_text': 'according to the text , how many unique users are there on the social networking service ?'}]"
what are the sulfas,[{'generated_text': 'what is the function of the antibacterial sulfonamides ?'}]
who plays angie on george lopez,[{'generated_text': 'which is true about the characters from George Lopez ?'}]
who played ralphie in a christmas story,[{'generated_text': 'who played the lead role in the movie ?'}]
who owns joe 's crab shack,[{'generated_text': 'what does the gift shop do ?'}]
where do cruises dock in new york city,[{'generated_text': 'why did the city of new York build the new passenger ship ?'}]
what is a right wing christian,[{'generated_text': 'what do theChristian right and the left have in common ?'}]
when did they establish the song rocketeer,"[{'generated_text': 'when did the song "" like a G6 "" come out ?'}]"
what type of batteries are 357 ( LR44 ),"[{'generated_text': ""what 's the disadvantage of the older types of battery ?""}]"
where did hurricane katrina begin,[{'generated_text': 'what can we learn form the article ?'}]
who owns us treasuries,[{'generated_text': 'how many lines are used to show the total national debt ?'}]
what is an assist in basketball,[{'generated_text': 'who led the NBA in assists in 1968 ?'}]
what is 1 mil guaranies in united states dollars,[{'generated_text': 'what was proposed during the decades of discussion on the decimalization of the pound as a division'}]
where did the persian war take place,[{'generated_text': 'how long did the Greco-Persian Wars last ?'}]
where can i find shantytowns during the great depression,[{'generated_text': 'when did the shanty towns become popular ?'}]
where does matt hasselbeck live,[{'generated_text': 'what didHasselbeck do in 2013 ?'}]
what are the impacts of information communication technology to public relation practices,[{'generated_text': 'what is a shorter form of information and communication ( s ) technology ?'}]
who plays angie lopez,[{'generated_text': 'which is true about the characters from George Lopez ?'}]
when did thomson make the plum-pudding model,[{'generated_text': 'what was the result of the 1905 gold foil experiment ?'}]
what part of the pig is bacon,[{'generated_text': 'which is wrong about bacon ?'}]
where did erisa come from,[{'generated_text': 'what is the aim ofERISA ?'}]
what percent of illegal immigrants are from mexico and europe,"[{'generated_text': ""what 's the number of people in the study ?""}]"
what school district is alvin in ?,"[{'generated_text': ""how many acres does alvin 's land cover ?""}]"
what nerves run through the humerus,"[{'generated_text': 'what is bumping one \'s `` funny bone "" ?'}]"
when us subprime mortgage market collapse,[{'generated_text': 'what is the proximate cause of the financial crisis and subsequent recession ?'}]
What kind of personality test is the MBTI,[{'generated_text': 'what does the MBTI focus on most of the time ?'}]
who plays judas in lady gaga video judas ?,[{'generated_text': 'how did the song get its name ?'}]
when did marvin gaye,"[{'generated_text': ""what kind of music didGaye 's songs influenced ?""}]"
what movie won the academy award for best picture in 2000,[{'generated_text': 'what is the best picture category for best picture ?'}]
what type of game is heavy rain,[{'generated_text': 'how many people took part in the four day challenge ?'}]
what are superannuation contributions ?,"[{'generated_text': 'according to the text , who can withdraw his money out of a superannuation fund ?'}]"
who played derwin davis on the first 2 episodes of the tv show the game,"[{'generated_text': 'who played the lead role in the show "" the game "" ?'}]"
when does the electoral college votes,[{'generated_text': 'how many states did the winner win the popular vote in ?'}]
when barack obama was born,[{'generated_text': 'where did he work as a civil rights attorney ?'}]
what type of chain on a honda cbr1100xx,[{'generated_text': 'why was the Honda CBr1100XX made from 2007 to 2007 ?'}]
what percent of providers have electronic health records,[{'generated_text': 'what is an electronic health record ?'}]
who wrote rhythm of the ancient mariner,[{'generated_text': 'when did this text probably come out ?'}]
what is a .PAC file,[{'generated_text': 'what is a fall-back when a proxy fails to respond ?'}]
what race is Zendaya coleman,[{'generated_text': 'how many films has zendaya appeared in ?'}]
what are the names of airport pa,[{'generated_text': 'where can you find this text ?'}]
where does apple operate,"[{'generated_text': ""what 's the function of the accelerometer ?""}]"
what are spoilers for,[{'generated_text': 'why are spoilers added to cars ?'}]
what year was mario popular,[{'generated_text': 'what can we learn form the text ?'}]
who sings i am a man of constant sorrow,"[{'generated_text': ""what 's the date of this recording ?""}]"
what are the units for volts,[{'generated_text': 'what is the function of the joseph junction array ?'}]
who kill franz ferdinand ww1,[{'generated_text': 'who was killed in the Sarajevo assassination ?'}]
who build the san juan capistrano mission,[{'generated_text': 'how many missions were there in the alta California before secularization ?'}]
who sings better off dead in better off dead,[{'generated_text': 'what kind of film is better Off Dead ?'}]
what year was superdome built,[{'generated_text': 'where does this text probably come from ?'}]
what year did disney 's animal kingdom lodge open,"[{'generated_text': ""what 's the name of the deluxe resort ?""}]"
who created the populist party,"[{'generated_text': 'what \'s the meaning of "" populist "" and "" populism "" ?'}]"
what are two languages in Nigeria ?,[{'generated_text': 'how many languages are spoken in the us ?'}]
what war led to Pearl Harbor,[{'generated_text': 'why was the attack on Pearl Harbor not carried out at first ?'}]
what are the thing in a stapler ?,[{'generated_text': 'how many kinds of staplers are mentioned ?'}]
what types of muscles are those of the swallowing mechanism ?,[{'generated_text': 'what is the swallowing reflex in the human body ?'}]
what race was Thaddeus Stevens,"[{'generated_text': ""what was the reaction of the Radical Republicans to Stevens ' work on civil rights ?""}]"
where translation on DNA happens,[{'generated_text': 'what is the function of the ribosome ?'}]
what is a mms message,[{'generated_text': 'what is the best way to send a message ?'}]
where in the world are smallpox common,[{'generated_text': 'how many people died from smallpox in the 20th century ?'}]
what year did the beatles came out with the song i wan na hold your hand,"[{'generated_text': 'who wrote the song "" i want to Hold your Hand "" ?'}]"
what is a gasser car,[{'generated_text': 'what is a gasser ?'}]
when an ekg has T wave inversion in lead 2,[{'generated_text': 'what is a 12-lead EKG ?'}]
what are some advantages that donald trump has had,[{'generated_text': 'who was given control of the company in 1971 ?'}]
who invented geothermal energy technology,[{'generated_text': 'how many factors are mentioned in the article to determine the temperature of matter ?'}]
what is a form of legal ownership,[{'generated_text': 'what is the key building block in the development of the capitalist socio-economic system ?'}]
who wrote what 's my name rihanna,[{'generated_text': 'where did the song received its nomination at the 54th Grammy Awards ?'}]
what is a constant in math ?,[{'generated_text': 'what are the more popular constants ?'}]
who won the SC election 2010,[{'generated_text': 'how many seats did the Republicans win in this election ?'}]
where would you be standing on june 21 if the sun were directly overhead at noon .,[{'generated_text': 'when is the longest day of the year for any place outside the tropics ?'}]
WHAT SINGER MARRIED HIS COUSIN,"[{'generated_text': ""what was special about his career in the 60s and '70s ?""}]"
when did abraham lincoln write the emancipation proclamation ? ?,[{'generated_text': 'why was the law passed by the president ?'}]
what songs are used in the sucker punch trailer,[{'generated_text': 'what isucker Punch ?'}]
what are the factors of production for digital cameras,[{'generated_text': 'how can digital cameras record moving video with sound ?'}]
what are web related servers,[{'generated_text': 'what is a web server ?'}]
who founded the American Red Cross,[{'generated_text': 'who is the current president and Chief Executive Officer ?'}]
what type of sound does a rooster make ?,[{'generated_text': 'how old is a cockerel ?'}]
where can i play pokemon cards,[{'generated_text': 'what is the last strong links to its heritage as a playing card company ?'}]
who owns land rover,[{'generated_text': 'who was the owner of the Rover brand ?'}]
when does season 9 of bleach begin,[{'generated_text': 'how many pieces of theme music does the Bleach anime series use ?'}]
what states have legalized prostitution,[{'generated_text': 'how many brothels are there in the 8 counties ?'}]
when president nixon resigns,[{'generated_text': 'when wasixon elected to the u.s.a. ?'}]
when did sertraline come on the market,[{'generated_text': 'which of the statements is true about sertraline ?'}]
who sing the five heartbeats songs,[{'generated_text': 'what did the critics think about the movie ?'}]
when did secretariat win,[{'generated_text': 'who is Eddie Sweat ?'}]
what are batteries made up of,[{'generated_text': 'what is an automotive battery ?'}]
what is a full job time ? ?,[{'generated_text': 'how many hours is a full-time worker in a company ?'}]
when a seahorses mate die do they die,"[{'generated_text': 'when did the word "" Seahorse "" come from ?'}]"
what are schedule 1 drugs according to iowa state law,[{'generated_text': 'what was the Controlled Substances act ?'}]
what people used mayan numeral system,[{'generated_text': 'what is the vigesimal in the pre-Columbian Maya civilization ?'}]
what lyndon b johnson like to as a boy,[{'generated_text': 'who is ranked favorably by some historians ?'}]
who plays as big bird,"[{'generated_text': 'what does "" Radar "" mean ?'}]"
who accompanied King louis the VII of France on the second crusade,[{'generated_text': 'when was the first Crusade ?'}]
who founded walmart,[{'generated_text': 'how many stores are there in the us ?'}]
what is a hosting company on a website,[{'generated_text': 'what is a web page hosting service ?'}]
where did the first airplane fly,[{'generated_text': 'why did the Wright brothers invent the airplane ?'}]
who won antm cycle 12,[{'generated_text': 'how many viewers watched the season last ?'}]
who owns exxon mobil,[{'generated_text': 'how many people are there in the world with oil and gas reserves ?'}]
who built the globe,[{'generated_text': 'where was the second Globe ?'}]
who played in it 's a wonderful life,[{'generated_text': 'what would happen had he never been born ?'}]
what are warehouse spreadsheets used for,[{'generated_text': 'what is a star schema ?'}]
what is a rock quarry,[{'generated_text': 'what are open pit mines ?'}]
Who Started the Mormon Church,[{'generated_text': 'what is central to Mormon faith ?'}]
what is an asset account,[{'generated_text': 'what is considered an intangible ?'}]
what kind of potential is created after a neuron is excited,[{'generated_text': 'how can changes in the cross-membrane voltage affect the function of the nervous system'}]
who won the 2009 super bowl,[{'generated_text': 'how many points did the Steelers score in the game ?'}]
what wavelengths are the most harmful on the em spectrum,[{'generated_text': 'what is the most possible number of electromagnetic radiation ?'}]
what are the characteristics of bryophytes,[{'generated_text': 'what is aryophyte ?'}]
what is a good bank road ?,[{'generated_text': 'how many banks are mentioned in the text ?'}]
when did xbox release,[{'generated_text': 'how many years was the first Xbox introduced in the world ?'}]
what the multiple endings of john say about its possible authorship ;,"[{'generated_text': 'according to the text , which is not the reason for the origin of the Gospel according to'}]"
what are the ten things god cursed pharaoh with,[{'generated_text': 'when did the plagues begin ?'}]
what is a roll play games,"[{'generated_text': 'according to the text , what is a role-playing game ?'}]"
when did the civil war start and where,[{'generated_text': 'which is not the reason for the civil war in 1860 ?'}]
